timestamp,latitude,longitude
1620747627.7095716,12.972798392097197,77.6042459182778
1620747627.7095716,12.979540243612956,77.598155236712
1620747627.7095716,12.972150612702675,77.59840932841023
1620747627.7095716,12.974336940572002,77.60062606018043
1620747627.7095716,12.975369796577178,77.60260146328756
1620747627.7095716,12.978872994172386,77.60203675832302
1620747627.7095716,12.979487625092442,77.60235481548925
1620747627.7095716,12.977893608109762,77.60313792948543
1620747627.7095716,12.972651814256634,77.59733456523549
1620747627.7095716,12.977492955665138,77.59886338428255
